1着_人気,2着_人気,3着_人気,レース名,年,単勝_払戻,複勝_払戻1,複勝_払戻2,複勝_払戻3,馬連_払戻,ワイド1_払戻,ワイド2_払戻,ワイド3_払戻,馬単_払戻,3連複_払戻,3連単_払戻
2.0,1.0,7.0,ouka,2024,430,150,140,340,620,280.0,970.0,940.0,1240.0,3260.0,11470.0
1.0,6.0,5.0,ouka,2023,160,110,310,330,1280,560.0,570.0,2540.0,1520.0,4750.0,13220.0
7.0,3.0,6.0,ouka,2022,1450,360,220,400,3740,1250.0,2100.0,1110.0,9050.0,11740.0,72700.0
2.0,1.0,8.0,ouka,2021,360,140,130,350,670,290.0,1030.0,950.0,1280.0,2660.0,10400.0
2.0,1.0,9.0,ouka,2020,420,190,170,730,1110,490.0,2880.0,2480.0,1930.0,12590.0,47760.0
2.0,7.0,3.0,ouka,2019,340,170,400,200,4410,1280.0,420.0,1410.0,5700.0,5990.0,31810.0
2.0,1.0,3.0,ouka,2018,390,140,110,140,480,230.0,430.0,230.0,990.0,830.0,3780.0
8.0,3.0,1.0,ouka,2017,4080,480,240,110,17000,2760.0,880.0,420.0,45330.0,5020.0,94890.0
3.0,2.0,6.0,ouka,2016,500,240,260,810,960,320.0,1320.0,1430.0,1950.0,5650.0,20330.0
5.0,7.0,8.0,ouka,2015,1020,260,610,750,7860,2030.0,2260.0,3910.0,17370.0,34480.0,233390.0
1.0,2.0,5.0,ouka,2014,120,110,170,270,370,200.0,340.0,960.0,450.0,1310.0,2540.0
7.0,2.0,14.0,ouka,2013,1800,460,200,1860,3300,1100.0,12830.0,7100.0,9350.0,102860.0,679300.0
2.0,4.0,3.0,ouka,2012,490,180,300,270,1850,720.0,740.0,1180.0,3150.0,5110.0,24020.0
2.0,1.0,4.0,ouka,2011,380,140,120,230,620,260.0,560.0,470.0,1230.0,1480.0,5880.0
1.0,3.0,11.0,ouka,2010,280,130,310,550,1440,570.0,1020.0,3220.0,2430.0,8500.0,38520.0
1.0,2.0,5.0,ouka,2009,120,110,270,330,640,320.0,420.0,1650.0,780.0,2480.0,5680.0
12.0,15.0,5.0,ouka,2008,4340,1120,3310,430,196630,35680.0,5880.0,22260.0,334440.0,778350.0,7002920.0
3.0,1.0,7.0,ouka,2007,590,130,110,510,270,150.0,1570.0,830.0,1000.0,2830.0,12680.0
6.0,1.0,5.0,ouka,2006,1300,300,140,280,1550,660.0,1440.0,590.0,4370.0,3810.0,27460.0
2.0,1.0,10.0,ouka,2005,460,190,170,490,1220,510.0,1690.0,1630.0,2550.0,8440.0,36790.0
2.0,13.0,1.0,ouka,2003,350,150,820,180,9210,2400.0,430.0,3180.0,11370.0,13050.0,
13.0,7.0,1.0,ouka,2002,4290,950,400,270,34440,7980.0,4910.0,1620.0,,,
1.0,4.0,2.0,ouka,2001,130,100,290,130,1080,590.0,220.0,830.0,,,
6.0,7.0,3.0,ouka,2000,1590,380,530,240,8010,2060.0,1200.0,1550.0,,,
4.0,2.0,5.0,ouka,1999,890,260,170,310,1940,,,,,,
3.0,4.0,9.0,ouka,1998,620,220,290,540,2010,,,,,,
1.0,2.0,8.0,ouka,1997,260,140,160,570,510,,,,,,
10.0,4.0,9.0,ouka,1996,2730,780,350,590,14230,,,,,,
7.0,3.0,2.0,ouka,1995,2130,380,220,190,4420,,,,,,
2.0,7.0,3.0,satuki,2024,480,220,390,220,3550,1460.0,610.0,1620.0,5570.0,5940.0,29240.0
2.0,5.0,1.0,satuki,2023,520,220,270,160,3510,1290.0,560.0,620.0,5520.0,3770.0,24780.0
5.0,3.0,1.0,satuki,2022,910,240,210,140,3570,1220.0,530.0,550.0,7540.0,4190.0,32840.0
2.0,8.0,6.0,satuki,2021,370,170,490,380,4300,1540.0,1150.0,3560.0,5510.0,20000.0,82320.0
1.0,3.0,8.0,satuki,2020,270,140,170,690,660,330.0,2250.0,2610.0,1120.0,9150.0,26310.0
1.0,4.0,3.0,satuki,2019,170,110,200,160,950,360.0,270.0,660.0,1140.0,1480.0,4390.0
7.0,9.0,8.0,satuki,2018,1450,430,580,530,12880,3250.0,3010.0,4290.0,23570.0,53410.0,372080.0
9.0,4.0,12.0,satuki,2017,2240,650,320,1340,8710,2250.0,16960.0,6770.0,20720.0,176030.0,1064360.0
